"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DATASHEET";"DESCRIPTION";"DISTRIBUTOR1";"DISTRIBUTOR2";"GEOMETRY_HEIGHT";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"ORDERCODE-DISTRI1";"ORDERCODE-DISTRI2";"ORDERCODE-MANU1";"PACKAGE";"PARTNUMBER";"PRICE";"PRODUCT_TYPE";"PROD_ID";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SF_ID";"SPICEPREFIX";"VALUE";"VENDOR";
"2";"";"3,81/1,1";"3,81/1,1";"+, -";"THROUGH-HOLE PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"";"CONN_05";"1X05";"J8, J13, J14";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CONN_05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"J2";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CONN-08671";"";"";"PRT-08506";"";"";"";
"1";"";"JP1Q";"JP1";"JP1";"JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";" TMC262-LA ";"TMC262-LA";"TMC_QFN32_0.5_5.0X5.0";"IC2, IC3, IC4";"Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5)";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc262%2F_datasheet%2FTMC262_datasheet_pdf ";" Energy saving high resolution microstepping two phase stepper driver with Step/Dir, SPI, up to 60V, QFN32(5x5) ";" Digikey ";" Farnell ";" 0,9mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1044-ND ";" 1858307 ";" TMC262-LA ";"";"";"";"";"";"";"";"";"";" TMC262-LA ";"";
"1";" TMC424 ";"TMC424";"TMC_TQFP100_0.5_14X14";"IC5";"Serial triple Incremental Encoder Interface; TQ100";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc424%2F_datasheet%2FTMC424_datasheet_pdf ";" Serial triple Incremental Encoder Interface";" TQ100 ";" Digikey ";" Farnell ";" 1_6mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1046-ND ";"  ";" TMC424 ";"";"";"";"";"";"";"";"";"";" TMC424 ";
"1";" TMC429-PI24 ";"TMC429-PI24";"TMC_SO24_SOT137-1_1.27_15.5X7.5";"IC6";"Intelligent Triple Stepper Motor Controller with SPI, Step/Dir, SOP24";"";"";"";"";"";"";"";" http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc429%2F_datasheet%2FTMC429_datasheet_pdf ";" Intelligent Triple Stepper Motor Controller with SPI, Step/Dir, SOP24 ";" Digikey ";" Farnell ";" 2,65mm ";"";" TRINAMIC ";"";"";"";"";"";"";" 1460-1058-5-ND ";" 1858309 ";" TMC429-PI24 ";"";"";"";"";"";"";"";"";"";" TMC429-PI24 ";"";
"1";"0.01R";"RESISTOR0805";"0805";"R28";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"6";"0.1";"0.1OHM-1210-1/2W-1%";"1210";"R7, R8, R19, R20, R23, R24";"0.1Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-12374";"";"";"";"";"0.1";"";
"13";"0.1uF";"0.1UF-0402-16V-10%";"0402";"C4, C5, C7, C9, C15, C17, C26, C27, C28, C29, C50, C51, C52";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12416";"";"";"";"";"0.1uF";"";
"4";"0.1uF";"0.1UF-0603-100V-10%";"0603";"C1, C39, C41, C43";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08390";"";"";"";"";"0.1uF";"";
"2";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C33, C34";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00810";"";"";"";"";"0.1uF";"";
"5";"0.1uF";"0.1UF-0603-25V-5%";"0603";"C59, C60, C61, C71, C72";"0.1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08604";"";"";"";"";"0.1uF";"";
"1";"0.1uF";"C-EU075-052X106";"C075-052X106";"C21";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";"";"";
"4";"0.22uF";"0.22UF-0603-25V-10%";"0603";"C14, C16, C18, C73";"0.22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-07822";"";"";"";"";"0.22uF";"";
"1";"1-2295018-2";"1-2295018-2";"TE_1-2295018-2";"P1";"Conn USB Type C RCP 12 POS Solder RA SMD 12 Terminal 1 Port T/R";"";"";"";"";"Good";".5 mm[.019 in]";"1-2295018-2";"";" USB TYPE C, REC OFFSET 0.65MM DUAL SMT ";"";"";"";"";"";"";"";"TE Connectivity";"1-2295018-2";"";"24";"";"";"";"None";"";"1.70 USD";"Connector";"";"";"";"";"";"";"";
"1";"1.0uF";"1.0UF-0402-16V-10%";"0402";"C74";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-12417";"";"";"";"";"1.0uF";"";
"1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C2";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00868";"";"";"";"";"1.0uF";"";
"5";"1.0uF";"1.0UF-1206-50V-10%";"1206";"C19, C64, C66, C67, C68";"1µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09822";"";"";"";"";"1.0uF";"";
"6";"10";"10OHM-1206-1/4W-1%";"1206";"R15, R16, R25, R26, R33, R34";"10Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-08705";"";"";"";"";"10";"";
"1";"100K";"100KOHM-0402-1/16W-1%";"0402";"R1";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-13495";"";"";"";"";"100K";"";
"1";"100k";"100KOHM-0603-1/10W-1%";"0603";"R27";"100kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07828";"";"";"";"";"100k";"";
"3";"100k";"RESISTOR0603";"0603";"R46, R48, R49";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"1";"100pF";"C-EUC0402";"C0402";"C56";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10UH-225MA";"SMD-INDUCTOR-10UH-225MA-10%(0806)";"L0806";"L3, L4, L5";"303010042";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LQH2MCN100K02L";"";"";"";"";"";"";"";"";"";"";"";"";"";"10UH-225MA";"";
"10";"10k";"10KOHM-0603-1/10W-1%";"0603";"R6, R11, R12, R13, R14, R17, R18, R22, R31, R32";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-00824";"";"";"";"";"10k";"";
"13";"10nF";"10NF-0603-50V-10%";"0603";"C3, C10, C11, C12, C20, C24, C25, C31, C32, C35, C36, C37, C75";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-00867";"";"";"";"";"10nF";"";
"1";"10uF";"10UF-0603-6.3V-20%";"0603";"C6";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-11015";"";"";"";"";"10uF";"";
"6";"10uF";"10UF-1210-50V-20%";"1210";"C13, C38, C40, C42, C65, C70";"10.0µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09824";"";"";"";"";"10uF";"";
"1";"10uF";"CPOL-US085CS-1AR";"085CS_1AR";"C23";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"15k";"15KOHM-0603-1/10W-1%";"0603";"R51";"15kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07854";"";"";"";"";"15k";"";
"1";"1800pF";"C-EUC0402";"C0402";"C53";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"19.1k";"RESISTOR0603";"0603";"R45";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"3";"1M";"1MOHM-0603-1/4W-5%";"0603";"R21, R37, R38";"1MΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07868";"";"";"";"";"1M";"";
"2";"1N4002";"1N4004";"DO41-10";"D2, D3";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF";"CPOL-US085CS-1AR";"085CS_1AR";"C22";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.74k";"RESISTOR0603";"0603";"R44";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"2";"220";"220OHM-0603-1/10W-1%";"0603";"R9, R10";"220Ω resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07861";"";"";"";"";"220";"";
"1";"2200pF";"C-EUC0402";"C0402";"C55";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"220pF";"C-EUC0402";"C0402";"C62, C63";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"22UF-1210-16V-20%";"22UF-1210-16V-20%";"1210";"C44, C45, C46, C47, C48, C49, C69";"22µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"240Ω";"R-US_M0805";"M0805";"R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"30Ω/1.8A";"FERRITE_BEAD-0603";"0603";"FB1";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NDUC-07859";"";"";"";"";"30Ω/1.8A";"";
"1";"32.4k";"RESISTOR0603";"0603";"R47";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"1";"330pF";"C-EUC0402";"C0402";"C58";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uF";"4.7UF0603";"0603";"C30";"4.7µF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-08280";"";"";"";"";"4.7uF";"";
"1";"470nF";"470NF-0402-16V-10%";"0402";"C8";"0.47uF/470nF ceramic capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CAP-09041";"";"";"";"";"470nF";"";
"3";"47k";"47KOHM-0603-1/10W-1%";"0603";"R39, R40, R41";"47kΩ resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RES-07871";"";"";"";"";"47k";"";
"1";"48Ω";"R-US_M0805";"M0805";"R30";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"4N35S";"4N35S";"SOT23-6";"FOCUS, SHUTTER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"5600pF";"C-EUC0402";"C0402";"C57";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"7.15k";"RESISTOR0603";"0603";"R50";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"1";"73100-0114";"73100-0114";"73100-0114";"J5";"Molex Right Angle 50ohm";"70357943";"http://www.alliedelec.com/molex-incorporated-73100-0114/70357943/";"73100-0114";"http://uk.rs-online.com/web/p/products/7595252P";"";"";"";"";"Molex Right Angle 50ohm";"";"";"";"mm";"";"Molex";"73100-0114";"";"";"";"";"";"";"";"";"";"";"";"";"7595252P";"http://uk.rs-online.com/web/p/products/7595252P";"";"";"";"";
"1";"7B-16.000MAAJ-T";"7B-16.000MAAJ-T";"7B-16.000MAAJ-T_OSCSC500X320X105-4N";"Y1";"Crystal 16.0000mhz 18pf Smd";"";"";"";"";"";"";"";"";"";"";"";"";"";"TXC Corporation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"8.45k";"RESISTOR0603";"0603";"R43";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"1";"9.53k";"RESISTOR0603";"0603";"R42";"Generic Resistor Package";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";" ";"";"";"";"";" ";"";
"1";"91pF";"C-EUC0402";"C0402";"C54";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"AOD4184A";"AOD4184A";"TO252";"Q3, Q4, Q5, Q6, Q11, Q12, Q13, Q14, Q19, Q20, Q21, Q22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"12";"AOD4189";"AOD4189";"TO252";"Q1, Q2, Q7, Q8, Q9, Q10, Q15, Q16, Q17, Q18, Q23, Q24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"CDCS502PWR";"CDCS502PWR";"SOP65P640X120-8N";"U3";"Crystal Oscillator";"";"";"";"";"Good";"";"";"";" Crystal Oscillator / Clock Generator with optional SSC 8-TSSOP -40 to 85 ";"";"";"";"";"";"";"";"Texas Instruments";"CDCS502PWR";"";"";"";"";"";"TSSOP-8 Texas Instruments";"";"1.60 USD";"";"";"";"";"";"";"";"";
"2";"CSD17309Q3";"CSD17309Q3";"DQG0008A";"U$27, U$28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"CSD17309Q3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";
"1";"EN11-HSM1BF20";"EN11-HSM1BF20";"EN11HSM1BF20";"S1";"ENCODER 11MM ROTARY SW TOP ADJ";"";"";"EN11-HSM1BF20";"";"";"";"";"";"ENCODER 11MM ROTARY SW TOP ADJ";"";"";"";"26mm";"";"TT Electronics/BI Magnetics";"EN11-HSM1BF20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FT232RL-REEL";"FT232RL-REEL";"SOP65P780X200-28N";"U2";"USB Full Speed to Serial UART IC, Includes Oscillator and EEPROM - SSOP-28";"";"";"";"";"";"";"";"";"";"";"";"";"";"Future Technology Devices International Ltd";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM317MBSTT3";"LM317MBSTT3";"SOT223";"IC8";"500 mA Adjustable Output Positive Voltage Regulator";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LM317M";"";"";"";"";"";"";"";"";"";
"1";"LSM9DS1";"LSM9DS1";"PQFN24P43_350X300X102L35X23N";"U4";"iNEMO inertial module: 3D accelerometer, 3D gyroscope, 3D magnetometer";"";"";"";"";"Unavailable";"";"";"";" iNEMO inertial module: 3D accelerometer, 3D gyroscope, 3D magnetometer ";"";"";"";"";"";"";"";"STMicroelectronics";"LSM9DS1";"";"";"";"";"";"None";"";"None";"";"";"";"";"";"";"";"";
"1";"MBRS340T3";"MBRS340T3";"SMC";"D1";"SCHOTTKY BARRIER RECTIFIER 3.0 AMPERES 20, 30, 40 VOLT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"Motor Coil A";"SCREW-TERMINAL-GREEN(2P-5.0)";"H2-5.0-10.5X8.0MM";"J4, J10, J12";"320110031";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"GREEN-2P-5.0";"";
"3";"Motor Coil B";"SCREW-TERMINAL-GREEN(2P-5.0)";"H2-5.0-10.5X8.0MM";"J3, J9, J11";"320110031";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"GREEN-2P-5.0";"";
"1";"OLED";"OLED";"SIP-20";"SCREEN1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"POWER_JACKPTH_BREAD";"POWER_JACKPTH_BREAD";"POWER_JACK_PTH_BREAD";"J1";"Power Jack Connector";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"PRT-10811";"";"";"";"";"";"";
"1";"S1315F8_RAW";"S1315F8_RAW";"S1315F8_SMT";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"STEREOJACK";"STEREOJACK";"STX3100";"X1";"MIC/HEADPHONE JACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"STM32F313VCT6";"STM32F313VCT6";"QFP50P1600X1600X160-100N";"IC0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TL3342F160QG";"TL3342F160QG";"SW_TL3342F160QG";"S2";"TL3342 Series SPST 1.6 N Round Button Gull Wing Surface Mount Tactile Switch";"";"";"";"";"";"";"";"";"";"";"";"";"";"E SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPD8S300RUKRRUK0020B_NV";"TPD8S300RUKRRUK0020B_NV";"RUK0020B_NV";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"TPS54336ADRCR";"TPS54336ADRCR";"DRC0010J";"U5, U6, U7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS659821";"TPS659821";"QFN50P800X800X100-57N";"U$29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
